date,total_events,conflict_events,severe_conflict_events,conflict_share,severe_conflict_share,rolling_mean,rolling_std,rolling_z,lag1_share
2024-04-05,142415,45324,23800,0.3182529930133764,0.16711722782010321,0.328708461101642,0.007961516507167817,-1.313250820852088,0.31761502643832373
2024-04-06,87154,29891,16612,0.34296762053376784,0.19060513573674187,0.3283613246387792,0.008410102069972981,1.7367560789943606,0.3182529930133764
2024-04-07,81771,28389,15806,0.34717687199618447,0.19329591175355565,0.3304840241210614,0.010050854044048426,1.6608387508131854,0.34296762053376784
2024-04-08,133619,41968,21930,0.3140870684558334,0.16412336568901129,0.33230027868875645,0.01187325244854534,-1.5339697620220694,0.34717687199618447
2024-04-09,148548,46679,24330,0.31423512938578774,0.1637854430891025,0.3293759224005422,0.013617436256768539,-1.1118681027222534,0.3140870684558334
2024-04-10,148167,46528,24408,0.3140240404408539,0.16473303772095002,0.32575856167278844,0.013823932377346401,-0.8488555145975799,0.31423512938578774
2024-04-11,147354,46261,24325,0.313944650297922,0.16507865412543943,0.3240512500377325,0.014513524118334795,-0.696357387592922,0.3140240404408539
2024-04-12,145242,46515,24346,0.3202586028834635,0.16762369011718373,0.3235269105891037,0.014847267734493245,-0.22012856264774497,0.313944650297922
2024-04-13,92813,33083,18437,0.35644791139172316,0.1986467412970166,0.3238134262848304,0.014747548638300557,2.2128752314902296,0.3202586028834635
2024-04-14,95964,37521,20673,0.39099037138927095,0.21542453420032512,0.3257391821216812,0.01815263000732986,3.5945859768662705,0.35644791139172316
2024-04-15,141511,48559,26331,0.34314646917907443,0.18607034082156157,0.33199825346355066,0.03027930864561711,0.3681793348058314,0.39099037138927095
2024-04-16,150218,49708,26659,0.3309057503095501,0.1774687454233181,0.33614959642401365,0.029393468149037094,-0.17840174857471966,0.34314646917907443
2024-04-17,155130,50683,26655,0.32671307935280086,0.17182363179269,0.3385311136988368,0.027962500197471235,-0.4226386861896101,0.3309057503095501
2024-04-18,152730,49415,26195,0.3235448176520657,0.17151181824134093,0.3403438335434007,0.026481050228573184,-0.634378763165849,0.32671307935280086
2024-04-19,146453,49427,27303,0.3374939400353697,0.18642841047981262,0.34171528602256407,0.025098472771664944,-0.1681913487564901,0.3235448176520657
2024-04-20,93397,31589,17819,0.33822285512382627,0.19078771266743044,0.344177477044265,0.023432860940142995,-0.25411416624070066,0.3374939400353697
2024-04-21,79541,26366,14851,0.3314768484177971,0.18670874140380433,0.34157389757742257,0.022847455773380286,-0.4419331964038457,0.33822285512382627
2024-04-22,138826,43686,24280,0.3146816878682667,0.17489519254318356,0.3330719657243549,0.0069043466139662585,-2.6635797540766437,0.3314768484177971
2024-04-23,151753,48838,26796,0.32182559817598333,0.17657641035103094,0.3290055683942395,0.008235872773372715,-0.8717922697239365,0.3146816878682667
2024-04-24,158116,50984,27938,0.3224468112019024,0.17669306079081182,0.32770840380372995,0.008593994329712234,-0.6122406415415627,0.32182559817598333
2024-04-25,159160,53268,29739,0.3346820809248555,0.18684971098265896,0.3270989369250302,0.008824529902928906,0.8593255485834331,0.3224468112019024
2024-04-26,148890,48772,26912,0.32757068977097187,0.18075088991873195,0.3286899745354287,0.009077320386709543,-0.12330563610992706,0.3346820809248555
2024-04-27,91535,30599,17518,0.3342874310373081,0.19138034631561698,0.3272723673548005,0.008206320647806003,0.8548366537911432,0.32757068977097187
2024-04-28,82368,26773,15319,0.32504127816627815,0.18598242035742035,0.3267101639138693,0.0074290826999337655,-0.22464223579124293,0.3342874310373081
2024-04-29,139362,43774,24003,0.31410284008553263,0.17223489903991046,0.3257907967350809,0.007133195461913982,-1.638530264865633,0.32504127816627815
2024-04-30,149578,49449,27697,0.33059006003556674,0.18516760486167752,0.3257081041946903,0.007285179355153835,0.6701215718762945,0.31410284008553263
2024-05-01,147616,50188,28506,0.33999024495989594,0.19310914805983093,0.3269601701746308,0.007259809280560372,1.7948232910409687,0.33059006003556674
2024-05-02,151534,51578,28496,0.34037245766626634,0.18805020655430466,0.3294663749972013,0.00838325698585018,1.3009362217421079,0.33999024495989594
2024-05-03,145651,49986,27397,0.3431902286973656,0.18810032200259524,0.33027928596025996,0.009208576322904316,1.402056331443167,0.34037245766626634
2024-05-04,91890,31403,17347,0.3417455653498748,0.18878006311894657,0.3325106486640305,0.010273674771004741,0.8988912820082541,0.3431902286973656
2024-05-05,80576,28175,16054,0.3496698768864178,0.19924046862589356,0.3335760964229686,0.01085872028913161,1.482106549844307,0.3417455653498748
2024-05-06,136762,44515,24124,0.32549246135622467,0.17639402758076073,0.3370944676687028,0.011597305227773795,-1.0004053600911615,0.3496698768864178
2024-05-07,153589,50925,26868,0.33156671376205327,0.1749344028543711,0.33872155642165885,0.00810806818502943,-0.8824349396587636,0.32549246135622467
2024-05-08,155230,50631,27110,0.32616762223796947,0.17464407653159827,0.3388610783825855,0.007951717775865959,-1.5963162303297025,0.33156671376205327
2024-05-09,151012,49311,26417,0.3265369639498848,0.1749331178979154,0.33688641799373886,0.009236997344909095,-1.1204348834806253,0.32616762223796947
2024-05-10,140866,45589,24395,0.3236338080161288,0.17317876563542658,0.33490991889139865,0.009828068691217095,-1.1473374097748033,0.3265369639498848
2024-05-11,87190,28916,16207,0.33164353710287875,0.1858814084183966,0.33211614450836485,0.00986151208876539,-0.04792443605322101,0.3236338080161288
2024-05-12,73724,25713,14691,0.34877380500244154,0.19927025120720526,0.3306729976159368,0.008910812022538793,2.0313308529818572,0.33164353710287875
2024-05-13,130045,41448,22733,0.31872044292360335,0.1748087200584413,0.3305449873467973,0.008593200073597035,-1.3760350418844984,0.34877380500244154
2024-05-14,148960,48418,26791,0.3250402792696026,0.17985365198711065,0.32957755614213713,0.009581222042878354,-0.4735593071770052,0.31872044292360335
2024-05-15,156230,50283,27380,0.32185239710682967,0.1752544325673686,0.32864520835750133,0.00967250503273914,-0.7022804565807516,0.3250402792696026
2024-05-16,155523,50384,27234,0.32396494409187065,0.1751123628016435,0.3280287476244813,0.009989059069053565,-0.4068254581855915,0.32185239710682967
2024-05-17,144473,45671,24913,0.3161213513943782,0.1724405252192451,0.32766131621619365,0.010099767705674707,-1.142597053527435,0.32396494409187065
2024-05-18,90021,29283,16483,0.3252907654880528,0.1831017207096122,0.3265881081273721,0.010961442900954386,-0.11835509713838334,0.3161213513943782
2024-05-19,77579,25579,14695,0.3297155157968007,0.1894198172185772,0.32568056932525413,0.010733745322434075,0.37591226085021034,0.3252907654880528
2024-05-20,137992,44021,24000,0.3190112470288133,0.17392312597831758,0.32295795658159115,0.004516168173051031,-0.8739066840621117,0.3297155157968007
2024-05-21,150165,48009,25522,0.31970832084706824,0.16995971098458362,0.32299950002519257,0.004471811025600361,-0.7359835107706659,0.3190112470288133
2024-05-22,156670,48848,24956,0.3117891108699815,0.15929022786749217,0.32223779167911626,0.004520107784828634,-2.3115999233922864,0.31970832084706824
